state,ID,Company Name,Status,Last<BR>Update
VT,17699991VT,ADJUSTMENT P L CO,Inactive,2019
LA,17603573LA,AETHON UNITED PIPELINE LP,Active,2019
OK,17620238OK,AFTON PUBLIC WORKS AUTHORITY,Active,2019
KS,17620002KS,AGENDA  CITY OF,Inactive,2019
MN,17679560MN,AGRINATURAL GAS LLC,Active,2019
CO,17608031CO,AGUILAR TOWN OF,Active,2019
WV,17654051WV,AJAX P L CO,Active,2019
AL,17600139AL,ALABAMA GAS CORP,Active,2019
AL,17619001AL,ALAGASCO,Inactive,2019
TX,17677153TX,ALAMO PIPELINE LLC,Active,2019
AK,17602016AK,ALASKA PIPELINE COMPANY,Active,2019
MO,17629016MO,ALBANY MUN GAS SYS,Active,2019
GA,17614621GA,ALBANY WTR GAS LT COMM,Active,2019
IL,17600161IL,ALEDO CITY OF,Active,2019
AL,17600162AL,ALEXANDER CITY MUN GAS CO,Active,2019
LA,17600165LA,ALEXANDRIA CITY OF GAS DEPT,Active,2019
CT,17600169CT,ALGONQUIN GAS TRANSMISSION COMPANY,Active,2019
MA,17600170MA,ALGONQUIN GAS TRANSMISSION COMPANY,Active,2019
NJ,17600171NJ,ALGONQUIN GAS TRANSMISSION COMPANY,Active,2019
RI,17616150RI,ALGONQUIN GAS TRANSMISSION COMPANY,Active,2019
NY,17600172NY,ALGONQUIN GAS TRANSMISSION COMPANY,Active,2019
IA,17600204IA,ALLERTON GAS CO,Active,2019
IA,17694741IA,ALLIANCE PIPELINE LP,Active,2019
MN,17694745MN,ALLIANCE PIPELINE LP,Active,2019
ND,17694747ND,ALLIANCE PIPELINE LP,Active,2019
IL,17694743IL,ALLIANCE PIPELINE LP,Active,2019
KS,17600235KS,ALMA CITY OF,Active,2019
NE,17600238NE,ALMA NAT GAS CO CITY OF,Active,2019
CA,17672372CA,ALPINE NATURAL GAS INC,Active,2019
KS,17621900KS,ALTA VISTA GAS CO,Inactive,2019
KS,17600246KS,ALTAMONT CITY OF,Active,2019
TX,17600254TX,ALTO CITY OF,Active,2019
IA,17674470IA,ALTON MUNICIPAL UTILITIES,Active,2019
TX,17695420TX,AMARILLO NATURAL GAS INC,Active,2019
CO,17696910CO,AMARILLO NATURAL GAS INC,Active,2019
KS,17696911KS,AMARILLO NATURAL GAS INC,Active,2019
OK,17696912OK,AMARILLO NATURAL GAS INC,Active,2019
IL,17671862IL,AMEREN ILLINOIS,Active,2019
MO,17602900MO,AMEREN MISSOURI,Active,2019
KS,17620008KS,AMERICAN ENERGIES GAS SERVICES LLC,Active,2019
AL,17695500AL,AMERICAN MIDSTREAM ALA INTRASTATE,Active,2019
AL,17699063AL,AMERICAN MIDSTREAM ALABAMA GATHERING,Inactive,2019
AL,17699061AL,AMERICAN MIDSTREAM BAMAGAS LLC,Active,2019
LA,17622047LA,AMERICAN MIDSTREAM LA INTRASTATE LLC,Active,2019
LA,17673906LA,AMERICAN MIDSTREAM ONSHORE PPL LLC,Active,2019
TX,17648153TX,AMERICAN MIDSTREAM SEACREST LP,Active,2019
LA,17695200LA,AMERICAN MIDSTREAM SIGCO INTRASTATE,Active,2019
AL,17610141AL,AMERICAN MIDSTREAM TENNESSEE RIVER,Active,2019
GA,17600369GA,AMERICUS CITY OF,Active,2019
GA,17613093GA,ANDERSONVILLE CITY OF,Active,2019
PA,17609228PA,ANDREASSI GAS CO,Active,2019
IL,17600434IL,ANNA CITY OF,Active,2019
IA,17616157IA,ANR PIPELINE COMPANY,Active,2019
MO,17616213MO,ANR PIPELINE COMPANY,Active,2019
OH,17617828OH,ANR PIPELINE COMPANY,Active,2019
OK,17616214OK,ANR PIPELINE COMPANY,Active,2019
TN,17616215TN,ANR PIPELINE COMPANY,Active,2019
WI,17616216WI,ANR PIPELINE COMPANY,Active,2019
MS,17609440MS,ANR PIPELINE COMPANY,Active,2019
TX,17617197TX,ANR PIPELINE COMPANY,Active,2019
IL,17600324IL,ANR PIPELINE COMPANY,Active,2019
IN,17600325IN,ANR PIPELINE COMPANY,Active,2019
KS,17600326KS,ANR PIPELINE COMPANY,Active,2019
KY,17600327KY,ANR PIPELINE COMPANY,Active,2019
LA,17600328LA,ANR PIPELINE COMPANY,Active,2019
MI,17600329MI,ANR PIPELINE COMPANY,Active,2019
AR,17600330AR,ANR PIPELINE COMPANY,Active,2019
NE,17600331NE,ANR PIPELINE COMPANY,Active,2019
MN,17673905MN,ANR PIPELINE COMPANY,Inactive,2019
MI,17617571MI,ANR STORAGE COMPANY,Active,2019
KY,17679511KY,APACHE GAS TRANSMISSION COMPANY,Active,2019
TX,17676060TX,APL SOUTHTEX GAS UTILITY CO LP,Inactive,2019
VA,17673805VA,APPALACHIAN NATURAL GAS,Active,2019
TX,17622701TX,APPLEBY NATURAL GAS,Active,2019
LA,17673390LA,ARCADIA GAS STORAGE LLC,Active,2019
MN,17695248MN,ARCHER DANIELS MIDLAND CO,Active,2019
NM,17600642NM,ARCO PERMIAN CO,Inactive,2019
OK,17600639OK,ARCO PERMIAN CO,Inactive,2019
TX,17600644TX,ARCO PERMIAN CO,Inactive,2019
KS,17600491KS,ARGONIA CITY OF,Active,2019
MN,17600492MN,ARGYLE CITY OF,Active,2019
AR,17604438AR,ARKANSAS OKLAHOMA GAS CORPORATION,Active,2019
OK,17617034OK,ARKANSAS OKLAHOMA GAS CORPORATION,Active,2019
AR,17600512AR,ARKANSAS WESTERN GAS CO,Inactive,2019
AR,17600509AR,ARKANSAS WESTERN GAS CO,Inactive,2019
AR,17640414AR,ARKANSAS WESTERN P L  CO,Inactive,2019
KY,17621018KY,ARLINGTON CITY OF,Active,2019
MS,17678850MS,ARLINGTON ENERGY GROUP LLC,Active,2019
NY,17674421NY,ARLINGTON GAS STORAGE CO,Active,2019
OH,17600529OH,ARLINGTON NAT GAS CO,Active,2019
LA,17600538LA,ARNAUDVILLE TOWN OF,Active,2019
TX,17674971TX,ARROWHEAD GAS SERVICES LLC,Active,2019
TX,17695434TX,ARROWHEAD PIPELINE LP,Inactive,2019
MS,17628037MS,ARTESIA MUN GAS,Inactive,2019
GA,17613095GA,ASHBURN NAT GAS SYS,Active,2019
WV,17654001WV,ASHFORD GAS CO,Inactive,2019
MS,17600588MS,ASHLAND TOWN OF,Active,2019
AL,17600618AL,ATHENS GAS DEPT CITY OF,Active,2019
TN,17671860TN,ATHENS GAS DEPT CITY OF,Inactive,2019
TN,17600619TN,ATHENS UTIL BD,Active,2019
GA,17600626GA,ATLANTA GAS LT CO,Active,2019
IN,17679410IN,ATLAS PIPELINE,Active,2019
TX,17617436TX,ATMOS,Inactive,2019
TX,17604810TX,ATMOS ENERGY CORP,Inactive,2019
TX,17671662TX,ATMOS ENERGY CORPORATION,Active,2019
LA,17672060LA,ATMOS ENERGY CORPORATION,Active,2019
CO,17605178CO,ATMOS ENERGY CORPORATION,Active,2019
MS,17619687MS,ATMOS ENERGY CORPORATION,Active,2019
KS,17641129KS,ATMOS ENERGY CORPORATION,Active,2019
VA,17619023VA,ATMOS ENERGY CORPORATION,Active,2019
KY,17614728KY,ATMOS ENERGY CORPORATION,Active,2019
TN,17614078TN,ATMOS ENERGY CORPORATION,Active,2019
KY,17680615KY,ATMOS ENERGY CORPORATION,Inactive,2019
IL,17614075IL,ATMOS ENERGY CORPORATION,Inactive,2019
MO,17692927MO,ATMOS ENERGY CORPORATION,Inactive,2019
GA,17614074GA,ATMOS ENERGY CORPORATION,Inactive,2019
LA,17602178LA,ATMOS ENERGY CORPORATION,Inactive,2019
IA,17614073IA,ATMOS ENERGY CORPORATION,Inactive,2019
LA,17608629LA,ATOMS ENERGY CORP,Inactive,2019
KS,17620088KS,ATTICA CITY OF,Inactive,2019
IL,17619907IL,AUBURN CITY OF,Active,2019
KS,17620089KS,AUBURN CITY OF,Active,2019
KY,17600683KY,AUGUSTA CITY OF,Active,2019
AR,17605005AR,AUGUSTA LT WTR GAS,Active,2019
KS,17620010KS,AURORA CITY OF,Inactive,2019
MI,17695250MI,AURORA GAS COMPANY,Inactive,2019
IN,17600688IN,AURORA UTIL SYS,Active,2019
GA,17600689GA,AUSTELL NAT GAS SYS,Active,2019
MN,17600697MN,AUSTIN UTIL,Active,2019
KY,17600719KY,AUXIER RD GAS CO,Inactive,2019
OK,17640074OK,AVANT UTILITIES AUTH,Active,2019
CA,17620625CA,AVISTA CORP,Inactive,2019
OR,17611125OR,AVISTA UTILITIES,Active,2019
ID,17614616ID,AVISTA UTILITIES,Active,2019
WA,17616595WA,AVISTA UTILITIES,Active,2019
KY,17601118KY,B AND H GAS CO INC,Active,2019
KY,17672620KY,B T U GAS CO INC,Inactive,2019
MN,17695328MN,BAGLEY PUBLIC UTILITIES,Active,2019
GA,17600775GA,BAINBRIDGE CITY OF,Active,2019
IN,17619892IN,BAINBRIDGE MUNICIPAL GAS UTILITY,Active,2019
LA,17600782LA,BAKER CITY OF,Active,2019
TX,17648329TX,BALCONES STARR P L,Inactive,2019
LA,17600802LA,BALDWIN TOWN OF,Active,2019
MS,17600803MS,BALDWYN MUN GAS SYS,Active,2019
SC,17645021SC,BAMBERG BD OF PUB WORKS,Active,2019
ME,17695252ME,BANGOR GAS COMPANY LLC,Active,2019
KY,17600858KY,BARDWELL NAT GAS,Active,2019
PA,17695232PA,BARKEYVILLE GAS,Inactive,2019
KY,17601119KY,BARLOW MUN GAS CO,Active,2019
AK,17602003AK,BARROW UTILITIES ELECTRIC COOP,Active,2019
LA,17601120LA,BASILE TOWN OF,Active,2019
MS,17600908MS,BATESVILLE CITY OF,Active,2019
IN,17600909IN,BATESVILLE GAS UTILITY,Active,2019
NY,17600910NY,BATH ELECTRIC GAS AND WATER SYSTEMS,Active,2019
LA,17675022LA,BATON ROUGE RENEWABLE ENERGY LLC,Active,2019
TX,17600931TX,BAY CITY GAS CO,Active,2019
AL,17671350AL,BAY GAS STORAGE,Active,2019
MS,17600938MS,BAY SPRINGS CITY OF,Active,2019
MS,17600937MS,BAY ST LOUIS CITY OF,Active,2019
MS,17600142MS,BBT ALATENN LLC,Active,2019
TN,17600143TN,BBT ALATENN LLC,Active,2019
AL,17600141AL,BBT ALATENN LLC,Active,2019
MS,17617198MS,BBT MIDLA LLC,Active,2019
LA,17619874LA,BBT MIDLA LLC,Active,2019
AR,17696927AR,BBT TRANS-UNION INTERSTATE PL LP,Active,2019
LA,17614703LA,BEAR CREEK STORAGE CO,Active,2019
MS,17600175MS,BEAUMONT TOWN OF,Active,2019
IA,17600034IA,BEDFORD CITY NATURAL GAS,Active,2019
TN,17674471TN,BEDFORD COUNTY UTILITY DISTRICT,Inactive,2019
WV,17671861WV,BEECHY GAS CO,Inactive,2019
NY,17660619NY,BELDEN AND BLAKE CORP,Inactive,2019
PA,17660617PA,BELDEN AND BLAKE CORP,Inactive,2019
KY,17621067KY,BELFRY GAS INC,Inactive,2019
IL,17619699IL,BELLE RIVE GAS SYSTEM,Active,2019
TN,17601034TN,BELLS GAS AND WATER,Active,2019
TX,17601035TX,BELLVILLE CITY OF,Active,2019
MS,17674475MS,BELMONT NATURAL GAS TOWN OF,Active,2019
TX,17601045TX,BENAVIDES CITY OF,Inactive,2019
SC,17601060SC,BENNETTSVILLE CITY OF,Active,2019
AZ,17601070AZ,BENSON CITY OF,Active,2019
KY,17601075KY,BENTON GAS SYSTEM,Active,2019
MO,17629304MO,BERGER NATURAL GAS,Active,2019
MA,17601093MA,BERKSHIRE GAS COMPANY THE,Active,2019
MO,17601100MO,BERNIE CITY OF,Active,2019
AL,17621803AL,BERRY GAS BOARD,Inactive,2019
CO,17672420CO,BERRY PETROLEUM CO,Inactive,2019
LA,17601113LA,BERWICK TOWN OF,Active,2019
NC,17601117NC,BESSEMER CITY OF,Active,2019
MO,17601131MO,BETHANY CITY OF,Active,2019
IL,17601132IL,BETHANY VILLAGE OF,Active,2019
MD,17600813MD,BGE,Active,2019
TX,17601163TX,BIG LAKE CITY OF,Active,2019
KY,17676410KY,BIG SANDY PIPELINE,Active,2019
WV,17654053WV,BIG TWO MILE GAS COMPANY,Inactive,2019
OK,17601176OK,BILLINGS PUB WORK AUTH,Active,2019
MO,17629301MO,BISMARCK CITY OF,Active,2019
ND,17675501ND,BISON PIPELINE LLC,Active,2019
TX,17675501TX,BISON PIPELINE LLC,Inactive,2019
WY,17675552WY,BISON PIPELINE LLC,Active,2019
MT,17675553MT,BISON PIPELINE LLC,Active,2019
CO,17600821CO,BLACK HILLS ENERGY,Active,2019
NE,17631004NE,BLACK HILLS ENERGY,Active,2019
KS,17681028KS,BLACK HILLS ENERGY,Active,2019
IA,17621809IA,BLACK HILLS ENERGY,Active,2019
WY,17602261WY,BLACK HILLS ENERGY,Active,2019
NE,17617235NE,BLACK HILLS GAS DISTRIBUTION LLC,Inactive,2019
WY,17617525WY,BLACK HILLS GAS DISTRIBUTION LLC,Inactive,2019
CO,17606722CO,BLACK HILLS GAS DISTRIBUTION LLC,Inactive,2019
AR,17671155AR,BLACK HILLS GAS DISTRIBUTION LLC,Active,2019
AZ,17604005AZ,BLACK MOUNTAIN GAS CO,Inactive,2019
SC,17601212SC,BLACKSBURG TOWN OF,Inactive,2019
MA,17625015MA,BLACKSTONE GAS CO,Active,2019
PA,17600306PA,BLACKSVILLE OIL GAS COMPANY,Active,2019
WV,17601215WV,BLACKSVILLE OIL GAS COMPANY,Active,2019
GA,17621928GA,BLAKELY CITY OF,Active,2019
UT,17695460UT,BLANDING CITY OF,Active,2019
IA,17601247IA,BLOOMFIELD CITY OF,Active,2019
FL,17601257FL,BLOUNTSTOWN CITY OF,Active,2019
TX,17619731TX,BLUE DOLPHIN PIPE LINE COMPANY,Active,2019
OK,17672930OK,BLUE FLAME GAS COMPANY,Inactive,2019
OH,17677202OH,BLUE FUELS GROUP,Inactive,2019
CA,17677201CA,BLUE FUELS GROUP,Inactive,2019
TX,17674210TX,BLUE FUELS GROUP,Inactive,2019
MI,17640806MI,BLUE LAKE GAS STORAGE COMPANY,Active,2019
TX,17695456TX,BLUEBONNET NATURAL GAS LLC,Active,2019
KY,17672621KY,BLUEGRASS GAS SALES INC,Active,2019
MI,17671401MI,BLUEWATER GAS STORAGE LLC,Active,2019
IL,17619823IL,BLUFORD GAS CO,Active,2019
PA,17677214PA,BOARDWALK FIELD SERVICES LLC,Active,2019
TX,17677213TX,BOARDWALK FIELD SERVICES LLC,Active,2019
LA,17674353LA,BOARDWALK LOUISIANA MIDSTREAM LLC,Inactive,2019
LA,17677715LA,BOARDWALK STORAGE COMPANY,Active,2019
TX,17678851TX,BOARDWALK TEXAS INTERSTATE LLC,Active,2019
AL,17601317AL,BOAZ CITY OF GAS BD,Active,2019
LA,17673900LA,BOBCAT STORAGE-PORT BARRE SALT DOME,Active,2019
TX,17648135TX,BOERNE UTIL CITY OF,Active,2019
TN,17601344TN,BOLIVAR CITY OF,Active,2019
TX,17648341TX,BOOKER CITY OF,Active,2019
MS,17601370MS,BOONEVILLE MUNICIPAL GAS,Active,2019
IN,17601371IN,BOONVILLE NAT GAS CORP,Active,2019
MA,17601391MA,BOSTON GAS CO DBA NATIONAL GRID,Active,2019
GA,17601441GA,BOWMAN CITY OF,Active,2019
LA,17601446LA,BOYCE TOWN OF,Active,2019
KS,17650521KS,BP AMERICA PRODUCTION CO,Inactive,2019
TX,17648206TX,BRACKETVILLE MUN GAS,Active,2019
OH,17695236OH,BRAINARD GAS CORP,Active,2019
TX,17601489TX,BRAZORIA CITY OF,Active,2019
TX,17679874TX,BRAZORIA INTERCONNECT GAS PIPELINE,Active,2019
TX,17648972TX,BRAZOS FUEL CO,Active,2019
LA,17601492LA,BREAUX BRIDGE CITY OF,Inactive,2019
TX,17619715TX,BRENHAM CITY OF,Active,2019
AL,17619600AL,BREWTON CITY OF,Active,2019
LA,17600060LA,BRIDGELINE GAS DIST LLC,Inactive,2019
LA,17603740LA,BRIDGELINE HOLDINGS LP,Inactive,2019
LA,17672931LA,BRIDGELINE HOLDINGS LP,Active,2019
LA,17650807LA,BRIDGELINE STORAGE CO LLC,Inactive,2019
AL,17618616AL,BRIDGEPORT UTIL BD,Active,2019
IA,17619726IA,BRIGHTON MUN GAS SYS,Active,2019
RI,17601534RI,BRISTOL   WARREN GAS CO,Inactive,2019
IA,17619693IA,BROOKLYN MUNICIPAL UTILITIES,Active,2019
AL,17617840AL,BROOKSIDE GAS SYSTEM,Active,2019
KY,17621069KY,BROOKSVILLE CITY OF,Active,2019
TX,17648349TX,BROWN IND GAS INC,Inactive,2019
TN,17601605TN,BROWNSVILLE ENERGY AUTH,Active,2019
WA,17601647WA,BUCKLEY CITY OF,Inactive,2019
MS,17619678MS,BUFFALO GAS COMPANY,Inactive,2019
GA,17601665GA,BUFORD CITY OF,Active,2019
OK,17640072OK,BURBANK PUBLIC WORKS,Active,2019
KY,17672622KY,BURKESVILLE GAS CO,Active,2019
KS,17601715KS,BURLINGAME CITY OF,Active,2019
OK,17601721OK,BURLINGTON TOWN OF,Active,2019
MS,17695234MS,BURNSVILLE GAS CO,Active,2019
KS,17601742KS,BURRTON MUN GAS SYS,Active,2019
IL,17619695IL,BUSHNELL CITY OF,Active,2019
AL,17601802AL,BUTLER TOWN OF,Inactive,2019
MS,17601826MS,BYHALIA TOWN OF,Active,2019
GA,17617384GA,BYRON CITY OF,Active,2019
PA,17603676PA,C E DUNMIRE GAS CO INC,Active,2019
PA,17695238PA,C R G INC,Inactive,2019
PA,17614188PA,C T ENTERPRISES - VALLEY ENTERPRISES,Active,2019
LA,17676623LA,CADEVILLE GAS STORAGE LLC,Active,2019
TX,17671714TX,CAGO INC,Inactive,2019
GA,17600047GA,CAIRO NAT GAS SYS,Active,2019
IL,17601881IL,CAIRO PUB UTIL CO,Inactive,2019
MS,17672980MS,CALEDONIA ENERGY PARTNERS LLC,Active,2019
MS,17695302MS,CALEDONIA NATURAL GAS DIST,Active,2019
AL,17618617AL,CALERA CITY OF,Active,2019
GA,17674862GA,CALHOUN CITY OF,Active,2019
CA,17692308CA,CALPINE GAS COMPANY,Inactive,2019
TX,17698325TX,CALPINE TEXAS PIPELINE LP,Active,2019
TN,17680332TN,CAMBRIDGE RESOURCES  INC,Inactive,2019
LA,17673690LA,CAMERON INTERSTATE PIPELINE,Inactive,2019
LA,17674103LA,CAMERON LNG,Active,2019
GA,17601934GA,CAMILLA CITY OF,Active,2019
AL,17618618AL,CAMP HILL TOWN OF,Inactive,2019
WV,17695254WV,CANAAN VALLEY GAS COMPANY,Active,2019
OK,17640076OK,CANADIAN NAT GAS INC,Inactive,2019
TX,17695202TX,CANTERA GAS GATHERING INC,Inactive,2019
LA,17680120LA,CANTIUM LLC,Active,2019
MS,17602056MS,CANTON MUNICIPAL UTILITIES CMU,Active,2019
TX,17695352TX,CAPITAL GAS DISTRIBUTION,Inactive,2019
NM,17619742NM,CAPITAN CARRIZOZO NAT GAS,Inactive,2019
AL,17601097AL,CARBON HILL UTIL BD CITY OF,Active,2019
WV,17601305WV,CARDINAL BLUEFIELD GAS CO,Active,2019
NC,17695228NC,CARDINAL PIPELINE CO,Active,2019
LA,17602086LA,CARENCRO GAS SYS,Active,2019
KY,17602098KY,CARLISLE CITY OF,Active,2019
WV,17617499WV,CARNEGIE NAT GAS CO,Inactive,2019
PA,17601949PA,CARNEGIE NAT GAS CO,Inactive,2019
TX,17601978TX,CARRIZO SPRINGS CITY OF,Active,2019
KY,17601986KY,CARROLLTON CITY OF,Active,2019
GA,17601994GA,CARTERSVILLE GAS SYSTEM,Active,2019
IA,17602005IA,CASCADE MUN UTIL,Active,2019
WA,17602004WA,CASCADE NAT GAS CORP,Active,2019
OR,17601966OR,CASCADE NAT GAS CORP,Active,2019
IL,17617078IL,CASEY CITY OF,Active,2019
OK,17619846OK,CASHION PUB WKS AUTH,Active,2019
KS,17602012KS,CASSODAY CITY OF,Active,2019
TX,17602023TX,CASTROVILLE CITY OF,Active,2019
CO,17676820CO,CCI PARADOX MIDSTREAM LLC,Active,2019
NM,17676821NM,CCI SAN JUAN LLC,Active,2019
IA,17602128IA,CEDAR FALLS UTIL,Active,2019
TX,17660624TX,CENTANA INTRASTATE,Inactive,2019
MN,17602373MN,CENTENNIAL UTIL DBA CIRCLE PINES UTI,Active,2019
CO,17602141CO,CENTER MUNICIPAL GAS SYSTEM,Active,2019
MN,17622739MN,CENTERPOINT ENERGY,Active,2019
OK,17630125OK,CENTERPOINT ENERGY ARKLA,Active,2019
TX,17630127TX,CENTERPOINT ENERGY ARKLA,Active,2019
LA,17630123LA,CENTERPOINT ENERGY ARKLA,Active,2019
